group,name,source_size,natural_size,target_size,method,processing_source,background_confidence,natural_path,unity_path
商店页面元素,卡牌底色.png,1376x768,574x660,300x115,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\卡牌底色.jpg,0.970,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\卡牌底色.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\卡牌底色.png
商店页面元素,确认按钮.png,1664x640,1460x438,260x100,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\确认按钮.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\确认按钮.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\确认按钮.png
商店页面元素,商店顶部木牌.png,1376x768,1259x413,420x140,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\商店顶部木牌.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\商店顶部木牌.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\商店顶部木牌.png
商店页面元素,商店主木质大面板.png,1376x768,1362x732,1450x780,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\商店主木质大面板.jpg,0.714,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\商店主木质大面板.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\商店主木质大面板.png
商店页面元素,石质角块.png,1254x1254,911x957,130x130,亮度轮廓法处理AI精修源,D:\prounity\mvp\商店页面\AI精修源\石质角块.png,0.994,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\石质角块.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\石质角块.png
商店页面元素,售卖木板.png,720x1456,373x807,260x520,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\售卖木板.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\售卖木板.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\售卖木板.png
商店页面元素,刷新图标.png,1024x1024,771x843,64x64,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\刷新图标.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\刷新图标.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\刷新图标.png
商店页面元素,拖动至此处提示牌.png,1840x576,1759x511,220x70,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\拖动至此处提示牌.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\拖动至此处提示牌.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\拖动至此处提示牌.png
商店页面元素,指挥官头像.png,1672x941,743x790,96x96,亮度轮廓法处理AI精修源,D:\prounity\mvp\商店页面\AI精修源\指挥官头像.png,0.995,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\指挥官头像.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\指挥官头像.png
商店页面元素,指挥官选择后的卡牌.png,328x94,295x78,300x115,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\指挥官选择后的卡牌.png,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\指挥官选择后的卡牌.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\指挥官选择后的卡牌.png
商店页面元素,指挥官选中.png,507x146,507x146,300x115,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\指挥官选中.png,0.058,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\指挥官选中.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\指挥官选中.png
商店页面元素,左侧卡牌列表背景栏.png,768x1376,680x1231,390x690,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\商店页面元素\左侧卡牌列表背景栏.jpg,0.858,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\商店页面元素\左侧卡牌列表背景栏.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\商店页面元素\左侧卡牌列表背景栏.png
指挥官信息,单个指挥官性格.png,1600x672,1064x399,86x36,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\指挥官信息\单个指挥官性格.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\指挥官信息\单个指挥官性格.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\指挥官信息\单个指挥官性格.png
指挥官信息,队伍底板.png,1872x560,1681x463,300x92,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\指挥官信息\队伍底板.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\指挥官信息\队伍底板.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\指挥官信息\队伍底板.png
指挥官信息,队伍字样底板.png,1424x752,914x434,110x58,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\指挥官信息\队伍字样底板.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\指挥官信息\队伍字样底板.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\指挥官信息\队伍字样底板.png
指挥官信息,性格按钮选中状态.png,1552x688,1121x460,90x40,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\指挥官信息\性格按钮选中状态.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\指挥官信息\性格按钮选中状态.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\指挥官信息\性格按钮选中状态.png
指挥官信息,指挥官头像.png,1728x608,1355x457,300x92,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\指挥官信息\指挥官头像.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\指挥官信息\指挥官头像.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\指挥官信息\指挥官头像.png
指挥官信息,指挥官性格框.png,1568x672,1096x501,180x78,彩度轮廓法移除烘焙棋盘格,D:\prounity\mvp\商店页面\指挥官信息\指挥官性格框.jpg,1.000,D:\prounity\mvp\商店页面\可替换PNG\高分辨率透明裁切\指挥官信息\指挥官性格框.png,D:\prounity\mvp\商店页面\可替换PNG\Unity推荐尺寸\指挥官信息\指挥官性格框.png
